author,title,type,start,end,kind,words
"Dickens, Charles",A Tale of Two Cities,sentence,5260,6392,NA,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St
"Dickens, Charles",A Tale of Two Cities,sentence,6394,6579,NA,Giless to search for contraband goods and the mob fired on the musketeers and the musketeers fired on the mob and nobody thought any of these occurrences much out of the common way
"Dickens, Charles",A Tale of Two Cities,sentence,6581,7055,NA,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence
"Dickens, Charles",A Tale of Two Cities,sentence,7057,7193,NA,All these things and a thousand like them came to pass in and close upon the dear old year one thousand seven hundred and seventyfive
"Dickens, Charles",A Tale of Two Cities,sentence,7195,7417,NA,Environed by them while the Woodman and the Farmer worked unheeded those two of the large jaws and those other two of the plain and the fair faces trod with stir enough and carried their divine rights with a high hand
"Dickens, Charles",A Tale of Two Cities,sentence,7419,7624,NA,Thus did the year one thousand seven hundred and seventyfive conduct their Greatnesses and myriads of small creaturesthe creatures of this chronicle among the restalong the roads that lay before them
"Dickens, Charles",A Tale of Two Cities,sentence,7626,7636,NA,CHAPTER II
"Dickens, Charles",A Tale of Two Cities,sentence,7638,7782,NA,The Mail It was the Dover road that lay on a Friday night late in November before the first of the persons with whom this history has business
"Dickens, Charles",A Tale of Two Cities,sentence,7784,7870,NA,The Dover road lay as to him beyond the Dover mail as it lumbered up Shooters Hill
"Dickens, Charles",A Tale of Two Cities,sentence,7872,8292,NA,He walked up hill in the mire by the side of the mail as the rest of the passengers did not because they had the least relish for walking exercise under the circumstances but because the hill and the harness and the mud and the mail were all so heavy that the horses had three times already come to a stop besides once drawing the coach across the road with the mutinous intent of taking it back to Blackheath
"Dickens, Charles",A Tale of Two Cities,sentence,8294,8560,NA,Reins and whip and coachman and guard however in combination had read that article of war which forbade a purpose otherwise strongly in favour of the argument that some brute animals are endued with Reason and the team had capitulated and returned to their duty
"Dickens, Charles",A Tale of Two Cities,sentence,8562,8744,NA,With drooping heads and tremulous tails they mashed their way through the thick mud floundering and stumbling between whiles as if they were falling to pieces at the larger joints
"Dickens, Charles",A Tale of Two Cities,sentence,8746,8828,NA,As often as the driver rested them and brought them to a stand with a wary Woho
"Dickens, Charles",A Tale of Two Cities,sentence,8830,8989,NA,sohothen the near leader violently shook his head and everything upon itlike an unusually emphatic horse denying that the coach could be got up the hill
"Dickens, Charles",A Tale of Two Cities,sentence,8991,9107,NA,Whenever the leader made this rattle the passenger started as a nervous passenger might and was disturbed in mind
"Dickens, Charles",A Tale of Two Cities,sentence,9109,9255,NA,There was a steaming mist in all the hollows and it had roamed in its forlornness up the hill like an evil spirit seeking rest and finding none
"Dickens, Charles",A Tale of Two Cities,sentence,9257,9432,NA,A clammy and intensely cold mist it made its slow way through the air in ripples that visibly followed and overspread one another as the waves of an unwholesome sea might do
"Dickens, Charles",A Tale of Two Cities,sentence,9434,9644,NA,It was dense enough to shut out everything from the light of the coachlamps but these its own workings and a few yards of road and the reek of the labouring horses steamed into it as if they had made it all
"Dickens, Charles",A Tale of Two Cities,sentence,9646,9734,NA,Two other passengers besides the one were plodding up the hill by the side of the mail
"Dickens, Charles",A Tale of Two Cities,sentence,9736,9815,NA,All three were wrapped to the cheekbones and over the ears and wore jackboots
"Dickens, Charles",A Tale of Two Cities,sentence,9817,10001,NA,Not one of the three could have said from anything he saw what either of the other two was like and each was hidden under almost as many wrappers from the eyes of the mind as from t
"Dickens, Charles",A Tale of Two Cities,entity,3503,3508,person,People
"Dickens, Charles",A Tale of Two Cities,entity,8497,8502,person,Reason
"Dickens, Charles",A Tale of Two Cities,entity,690,708,location,Head      CHAPTER X
"Dickens, Charles",A Tale of Two Cities,entity,1403,1407,location,Storm
"Dickens, Charles",A Tale of Two Cities,entity,2051,2055,location,Light
"Dickens, Charles",A Tale of Two Cities,entity,2555,2561,location,England
"Dickens, Charles",A Tale of Two Cities,entity,2646,2651,location,France
"Dickens, Charles",A Tale of Two Cities,entity,2916,2922,location,England
"Dickens, Charles",A Tale of Two Cities,entity,3189,3194,location,London
"Dickens, Charles",A Tale of Two Cities,entity,3200,3210,location,Westminster
"Dickens, Charles",A Tale of Two Cities,entity,3550,3556,location,America
"Dickens, Charles",A Tale of Two Cities,entity,3719,3724,location,France
"Dickens, Charles",A Tale of Two Cities,entity,4331,4336,location,France
"Dickens, Charles",A Tale of Two Cities,entity,4342,4347,location,Norway
"Dickens, Charles",A Tale of Two Cities,entity,4671,4675,location,Paris
"Dickens, Charles",A Tale of Two Cities,entity,4833,4838,location,Farmer
"Dickens, Charles",A Tale of Two Cities,entity,5163,5169,location,England
"Dickens, Charles",A Tale of Two Cities,entity,5975,5980,location,London
"Dickens, Charles",A Tale of Two Cities,entity,6131,6136,location,London
"Dickens, Charles",A Tale of Two Cities,entity,6390,6392,location,St
"Dickens, Charles",A Tale of Two Cities,entity,6909,6924,location,Westminster Hall
"Dickens, Charles",A Tale of Two Cities,entity,7240,7245,location,Farmer
"Dickens, Charles",A Tale of Two Cities,sentence,1,44,NA,the eyes of the body of his two companions
"Dickens, Charles",A Tale of Two Cities,sentence,46,194,NA,In those days travellers were very shy of being confidential on a short notice for anybody on the road might be a robber or in league with robbers
"Dickens, Charles",A Tale of Two Cities,sentence,196,402,NA,As to the latter when every postinghouse and alehouse could produce somebody in the Captains pay ranging from the landlord to the lowest stable nondescript it was the likeliest thing upon the cards
"Dickens, Charles",A Tale of Two Cities,sentence,404,810,NA,So the guard of the Dover mail thought to himself that Friday night in November one thousand seven hundred and seventyfive lumbering up Shooters Hill as he stood on his own particular perch behind the mail beating his feet and keeping an eye and a hand on the armchest before him where a loaded blunderbuss lay at the top of six or eight loaded horsepistols deposited on a substratum of cutlass
"Dickens, Charles",A Tale of Two Cities,sentence,812,1173,NA,The Dover mail was in its usual genial position that the guard suspected the passengers the passengers suspected one another and the guard they all suspected everybody else and the coachman was sure of nothing but the horses as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey
"Dickens, Charles",A Tale of Two Cities,sentence,1175,1201,NA,Woho said the coachman
"Dickens, Charles",A Tale of Two Cities,sentence,1203,1212,NA,So then
"Dickens, Charles",A Tale of Two Cities,sentence,1214,1325,NA,One more pull and youre at the top and be damned to you for I have had trouble enough to get you to itJoe
"Dickens, Charles",A Tale of Two Cities,sentence,1327,1354,NA,Halloa the guard replied
"Dickens, Charles",A Tale of Two Cities,sentence,1356,1424,NA,What oclock do you make it Joe Ten minutes good past eleven
"Dickens, Charles",A Tale of Two Cities,sentence,1426,1499,NA,My blood ejaculated the vexed coachman and not atop of Shooters yet
"Dickens, Charles",A Tale of Two Cities,sentence,1501,1527,NA,Tst Yah Get on with you
"Dickens, Charles",A Tale of Two Cities,sentence,1529,1671,NA,The emphatic horse cut short by the whip in a most decided negative made a decided scramble for it and the three other horses followed suit
"Dickens, Charles",A Tale of Two Cities,sentence,1673,1778,NA,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side
"Dickens, Charles",A Tale of Two Cities,sentence,1780,1856,NA,They had stopped when the coach stopped and they kept close company with it
"Dickens, Charles",A Tale of Two Cities,sentence,1858,2061,NA,If any one of the three had had the hardihood to propose to another to walk on a little ahead into the mist and darkness he would have put himself in a fair way of getting shot instantly as a highwayman
"Dickens, Charles",A Tale of Two Cities,sentence,2063,2120,NA,The last burst carried the mail to the summit of the hill
"Dickens, Charles",A Tale of Two Cities,sentence,2122,2265,NA,The horses stopped to breathe again and the guard got down to skid the wheel for the descent and open the coachdoor to let the passengers in
"Dickens, Charles",A Tale of Two Cities,sentence,2267,2271,NA,Tst
"Dickens, Charles",A Tale of Two Cities,sentence,2273,2343,NA,Joe cried the coachman in a warning voice looking down from his box
"Dickens, Charles",A Tale of Two Cities,sentence,2345,2367,NA,What do you say Tom
"Dickens, Charles",A Tale of Two Cities,sentence,2369,2387,NA,They both listened
"Dickens, Charles",A Tale of Two Cities,sentence,2389,2551,NA,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place
"Dickens, Charles",A Tale of Two Cities,sentence,2553,2563,NA,Gentlemen
"Dickens, Charles",A Tale of Two Cities,sentence,2565,2596,NA,In the kings name all of you
"Dickens, Charles",A Tale of Two Cities,sentence,2598,2681,NA,With this hurried adjuration he cocked his blunderbuss and stood on the offensive
"Dickens, Charles",A Tale of Two Cities,sentence,2683,2823,NA,The passenger booked by this history was on the coachstep getting in the two other passengers were close behind him and about to follow
"Dickens, Charles",A Tale of Two Cities,sentence,2825,2920,NA,He remained on the step half in the coach and half out of they remained in the road below him
"Dickens, Charles",A Tale of Two Cities,sentence,2922,3018,NA,They all looked from the coachman to the guard and from the guard to the coachman and listened
"Dickens, Charles",A Tale of Two Cities,sentence,3020,3159,NA,The coachman looked back and the guard looked back and even the emphatic leader pricked up his ears and looked back without contradicting
"Dickens, Charles",A Tale of Two Cities,sentence,3161,3309,NA,The stillness consequent on the cessation of the rumbling and labouring of the coach added to the stillness of the night made it very quiet indeed
"Dickens, Charles",A Tale of Two Cities,sentence,3311,3420,NA,The panting of the horses communicated a tremulous motion to the coach as if it were in a state of agitation
"Dickens, Charles",A Tale of Two Cities,sentence,3422,3640,NA,The hearts of the passengers beat loud enough perhaps to be heard but at any rate the quiet pause was audibly expressive of people out of breath and holding the breath and having the pulses quickened by expectation
"Dickens, Charles",A Tale of Two Cities,sentence,3642,3710,NA,The sound of a horse at a gallop came fast and furiously up the hill
"Dickens, Charles",A Tale of Two Cities,sentence,3712,3765,NA,Soho the guard sang out as loud as he could roar
"Dickens, Charles",A Tale of Two Cities,sentence,3767,3776,NA,Yo there
"Dickens, Charles",A Tale of Two Cities,sentence,3778,3783,NA,Stand
"Dickens, Charles",A Tale of Two Cities,sentence,3785,3798,NA,I shall fire
"Dickens, Charles",A Tale of Two Cities,sentence,3800,3982,NA,The pace was suddenly checked and with much splashing and floundering a mans voice called from the mist Is that the Dover mail Never you mind what it is the guard retorted
"Dickens, Charles",A Tale of Two Cities,sentence,3984,3998,NA,What are you
"Dickens, Charles",A Tale of Two Cities,sentence,4000,4085,NA, Is  that the Dover mail Why do you want to know I want a passenger if it is
"Dickens, Charles",A Tale of Two Cities,sentence,4087,4103,NA,What passenger
"Dickens, Charles",A Tale of Two Cities,sentence,4105,4108,NA,Mr
"Dickens, Charles",A Tale of Two Cities,sentence,4110,4123,NA,Jarvis Lorry
"Dickens, Charles",A Tale of Two Cities,sentence,4125,4185,NA,Our booked passenger showed in a moment that it was his name
"Dickens, Charles",A Tale of Two Cities,sentence,4187,4263,NA,The guard the coachman and the two other passengers eyed him distrustfully
"Dickens, Charles",A Tale of Two Cities,sentence,4265,4412,NA,Keep where you are the guard called to the voice in the mist because if I should make a mistake it could never be set right in your lifetime
"Dickens, Charles",A Tale of Two Cities,sentence,4414,4461,NA,Gentleman of the name of Lorry answer straight
"Dickens, Charles",A Tale of Two Cities,sentence,4463,4483,NA,What is the matter
"Dickens, Charles",A Tale of Two Cities,sentence,4485,4540,NA,asked the passenger then with mildly quavering speech
"Dickens, Charles",A Tale of Two Cities,sentence,4542,4555,NA,Who wants me
"Dickens, Charles",A Tale of Two Cities,sentence,4557,4569,NA,Is it Jerry
"Dickens, Charles",A Tale of Two Cities,sentence,4571,4646,NA,I dont like Jerrys voice if it is Jerry growled the guard to himself
"Dickens, Charles",A Tale of Two Cities,sentence,4648,4687,NA,Hes hoarser than suits me is Jerry
"Dickens, Charles",A Tale of Two Cities,sentence,4689,4705,NA,Yes Mr Lorry
"Dickens, Charles",A Tale of Two Cities,sentence,4707,4727,NA,What is the matter
"Dickens, Charles",A Tale of Two Cities,sentence,4729,4772,NA,A despatch sent after you from over yonder
"Dickens, Charles",A Tale of Two Cities,sentence,4774,5020,NA,T and Co I know this messenger guard said Mr Lorry getting down into the roadassisted from behind more swiftly than politely by the other two passengers who immediately scrambled into the coach shut the door and pulled up the window
"Dickens, Charles",A Tale of Two Cities,sentence,5022,5064,NA,He may come close theres nothing wrong
"Dickens, Charles",A Tale of Two Cities,sentence,5066,5164,NA,I hope there aint but I cant make so Nation sure of that said the guard in gruff soliloquy
"Dickens, Charles",A Tale of Two Cities,sentence,5166,5184,NA,Hallo you Well
"Dickens, Charles",A Tale of Two Cities,sentence,5186,5239,NA,And hallo you said Jerry more hoarsely than before
"Dickens, Charles",A Tale of Two Cities,sentence,5241,5263,NA,Come on at a footpace
"Dickens, Charles",A Tale of Two Cities,sentence,5265,5277,NA,dye mind me
"Dickens, Charles",A Tale of Two Cities,sentence,5279,5369,NA,And if youve got holsters to that saddle o yourn dont let me see your hand go nigh em
"Dickens, Charles",A Tale of Two Cities,sentence,5371,5452,NA,For Im a devil at a quick mistake and when I make one it takes the form of Lead
"Dickens, Charles",A Tale of Two Cities,sentence,5454,5479,NA,So now lets look at you
"Dickens, Charles",A Tale of Two Cities,sentence,5481,5611,NA,The figures of a horse and rider came slowly through the eddying mist and came to the side of the mail where the passenger stood
"Dickens, Charles",A Tale of Two Cities,sentence,5613,5712,NA,The rider stooped and casting up his eyes at the guard handed the passenger a small folded paper
"Dickens, Charles",A Tale of Two Cities,sentence,5714,5840,NA,The riders horse was blown and both horse and rider were covered with mud from the hoofs of the horse to the hat of the man
"Dickens, Charles",A Tale of Two Cities,sentence,5842,5909,NA,Guard said the passenger in a tone of quiet business confidence
"Dickens, Charles",A Tale of Two Cities,sentence,5911,6066,NA,The watchful guard with his right hand at the stock of his raised blunderbuss his left at the barrel and his eye on the horseman answered curtly Sir
"Dickens, Charles",A Tale of Two Cities,sentence,6068,6098,NA,There is nothing to apprehend
"Dickens, Charles",A Tale of Two Cities,sentence,6100,6126,NA,I belong to Tellsons Bank
"Dickens, Charles",A Tale of Two Cities,sentence,6128,6166,NA,You must know Tellsons Bank in London
"Dickens, Charles",A Tale of Two Cities,sentence,6168,6199,NA,I am going to Paris on business
"Dickens, Charles",A Tale of Two Cities,sentence,6201,6217,NA,A crown to drink
"Dickens, Charles",A Tale of Two Cities,sentence,6219,6268,NA,I may read this If so be as youre quick sir
"Dickens, Charles",A Tale of Two Cities,sentence,6270,6401,NA,He opened it in the light of the coachlamp on that side and readfirst to himself and then aloud Wait at Dover for Mamselle
"Dickens, Charles",A Tale of Two Cities,sentence,6403,6432,NA,Its not long you see guard
"Dickens, Charles",A Tale of Two Cities,sentence,6434,6482,NA,Jerry say that my answer was RECALLED TO LIFE
"Dickens, Charles",A Tale of Two Cities,sentence,6484,6511,NA,Jerry started in his saddle
"Dickens, Charles",A Tale of Two Cities,sentence,6513,6578,NA,Thats a Blazing strange answer too  said he at his hoarsest
"Dickens, Charles",A Tale of Two Cities,sentence,6580,6667,NA,Take that message back and they will know that I received this as well as if I wrote
"Dickens, Charles",A Tale of Two Cities,sentence,6669,6694,NA,Make the best of your way
"Dickens, Charles",A Tale of Two Cities,sentence,6696,6707,NA,Good night
"Dickens, Charles",A Tale of Two Cities,sentence,6709,6946,NA,With those words the passenger opened the coachdoor and got in not at all assisted by his fellowpassengers who had expeditiously secreted their watches and purses in their boots and were now making a general pretence of being asleep
"Dickens, Charles",A Tale of Two Cities,sentence,6948,7043,NA,With no more definite purpose than to escape the hazard of originating any other kind of action
"Dickens, Charles",A Tale of Two Cities,sentence,7045,7143,NA,The coach lumbered on again with heavier wreaths of mist closing round it as it began the descent
"Dickens, Charles",A Tale of Two Cities,sentence,7145,7446,NA,The guard soon replaced his blunderbuss in his armchest and having looked to the rest of its contents and having looked to the supplementary pistols that he wore in his belt looked to a smaller chest beneath his seat in which there were a few smiths tools a couple of torches and a tinderbox
"Dickens, Charles",A Tale of Two Cities,sentence,7448,7751,NA,For he was furnished with that completeness that if the coachlamps had been blown and stormed out which did occasionally happen he had only to shut himself up inside keep the flint and steel sparks well off the straw and get a light with tolerable safety and ease if he were lucky in five minutes
"Dickens, Charles",A Tale of Two Cities,sentence,7753,7786,NA,Tom softly over the coach roof
"Dickens, Charles",A Tale of Two Cities,sentence,7788,7979,NA,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself
"Dickens, Charles",A Tale of Two Cities,sentence,7981,8208,NA,Jerry left alone in the mist and darkness dismounted meanwhile not only to ease his spent horse but to wipe the mud from his face and shake the wet out of his hatbrim which might be capable of holding about half a gallon
"Dickens, Charles",A Tale of Two Cities,sentence,8210,8399,NA,After standing with the bridle over his heavilysplashed arm until the wheels of the mail were no longer within hearing and the night was quite still again he turned to walk down the hill
"Dickens, Charles",A Tale of Two Cities,sentence,8401,8560,NA,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare
"Dickens, Charles",A Tale of Two Cities,sentence,8562,8615,NA,Recalled to life Thats a Blazing strange message
"Dickens, Charles",A Tale of Two Cities,sentence,8617,8656,NA,Much of that wouldnt do for you Jerry
"Dickens, Charles",A Tale of Two Cities,sentence,8658,8670,NA,I say Jerry
"Dickens, Charles",A Tale of Two Cities,sentence,8672,8769,NA,Youd be in a Blazing bad way if recalling to life was to come into fashion Jerry CHAPTER III
"Dickens, Charles",A Tale of Two Cities,sentence,8771,8917,NA,The Night Shadows A wonderful fact to reflect upon that every human creature is constituted to be that profound secret and mystery to every other
"Dickens, Charles",A Tale of Two Cities,sentence,8919,9249,NA,A solemn consideration when I enter a great city by night that every one of those darkly clustered houses encloses its own secret that every room in every one of them encloses its own secret that every beating heart in the hundreds of thousands of breasts there is in some of its imaginings a secret to the heart nearest it
"Dickens, Charles",A Tale of Two Cities,sentence,9251,9321,NA,Something of the awfulness even of Death itself is referable to this
"Dickens, Charles",A Tale of Two Cities,sentence,9323,9423,NA,No more can I turn the leaves of this dear book that I loved and vainly hope in time to read it all
"Dickens, Charles",A Tale of Two Cities,sentence,9425,9599,NA,No more can I look into the depths of this unfathomable water wherein as momentary lights glanced into it I have had glimpses of buried treasure and other things submerged
"Dickens, Charles",A Tale of Two Cities,sentence,9601,9708,NA,It was appointed that the book should shut with a spring for ever and for ever when I had read but a page
"Dickens, Charles",A Tale of Two Cities,sentence,9710,9860,NA,It was appointed that the water should be locked in an eternal frost when the light was playing on its surface and I stood in ignorance on the shore
"Dickens, Charles",A Tale of Two Cities,sentence,9862,10001,NA,My friend is dead my neighbour is dead my love the darling of my soul is dead it is the inexorable consolidation and perpetuation of th
"Dickens, Charles",A Tale of Two Cities,entity,1386,1388,person,Joe
"Dickens, Charles",A Tale of Two Cities,entity,2363,2365,person,Tom
"Dickens, Charles",A Tale of Two Cities,entity,2463,2465,person,Tom
"Dickens, Charles",A Tale of Two Cities,entity,4563,4567,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,4586,4590,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,4610,4614,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,4680,4684,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,4823,4831,person,Mr Lorry
"Dickens, Charles",A Tale of Two Cities,entity,5207,5211,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,6434,6438,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,6484,6488,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,7754,7756,person,Tom
"Dickens, Charles",A Tale of Two Cities,entity,7757,7758,person,
"Dickens, Charles",A Tale of Two Cities,entity,7838,7840,person,Joe
"Dickens, Charles",A Tale of Two Cities,entity,7870,7872,person,Tom
"Dickens, Charles",A Tale of Two Cities,entity,7981,7985,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,8651,8656,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,8665,8670,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,8750,8754,person,Jerry
"Dickens, Charles",A Tale of Two Cities,entity,6112,6118,location,Tellson
"Dickens, Charles",A Tale of Two Cities,entity,6160,6165,location,London
"Dickens, Charles",A Tale of Two Cities,entity,6182,6186,location,Paris
"Dickens, Charles",A Tale of Two Cities,entity,8431,8440,location,Temple Bar
"Dickens, Charles",A Tale of Two Cities,sentence,1,98,NA,he secret that was always in that individuality and which I shall carry in mine to my lifes end
"Dickens, Charles",A Tale of Two Cities,sentence,100,289,NA,In any of the burialplaces of this city through which I pass is there a sleeper more inscrutable than its busy inhabitants are in their innermost personality to me or than I am to them
"Dickens, Charles",A Tale of Two Cities,sentence,291,487,NA,As to this his natural and not to be alienated inheritance the messenger on horseback had exactly the same possessions as the King the first Minister of State or the richest merchant in London
"Dickens, Charles",A Tale of Two Cities,sentence,489,756,NA,So with the three passengers shut up in the narrow compass of one lumbering old mail coach they were mysteries to one another as complete as if each had been in his own coach and six or his own coach and sixty with the breadth of a county between him and the next
"Dickens, Charles",A Tale of Two Cities,sentence,758,945,NA,The messenger rode back at an easy trot stopping pretty often at alehouses by the way to drink but evincing a tendency to keep his own counsel and to keep his hat cocked over his eyes
"Dickens, Charles",A Tale of Two Cities,sentence,947,1186,NA,He had eyes that assorted very well with that decoration being of a surface black with no depth in the colour or form and much too near togetheras if they were afraid of being found out in something singly if they kept too far apart
"Dickens, Charles",A Tale of Two Cities,sentence,1188,1370,NA,They had a sinister expression under an old cockedhat like a threecornered spittoon and over a great muffler for the chin and throat which descended nearly to the wearers knees
"Dickens, Charles",A Tale of Two Cities,sentence,1372,1534,NA,When he stopped for drink he moved this muffler with his left hand only while he poured his liquor in with his right as soon as that was done he muffled again
"Dickens, Charles",A Tale of Two Cities,sentence,1536,1604,NA,No Jerry no said the messenger harping on one theme as he rode
"Dickens, Charles",A Tale of Two Cities,sentence,1606,1636,NA,It wouldnt do for you Jerry
"Dickens, Charles",A Tale of Two Cities,sentence,1638,1707,NA,Jerry you honest tradesman it wouldnt suit  your  line of business
"Dickens, Charles",A Tale of Two Cities,sentence,1709,1719,NA,Recalled
"Dickens, Charles",A Tale of Two Cities,sentence,1721,1767,NA,Bust me if I dont think hed been a drinking
"Dickens, Charles",A Tale of Two Cities,sentence,1769,1887,NA,His message perplexed his mind to that degree that he was fain several times to take off his hat to scratch his head
