author,title,sentence,sentence_nr,words,kind
"Dickens, Charles",A Tale of Two Cities,France less favoured on the whole as to matters spiritual than her sister of the shield and trident rolled with exceeding smoothness down hill making paper money and spending it,10,France,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that rooted in the woods of France and Norway there were growing trees when that sufferer was put to death already marked by the Woodman Fate to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history,12,France,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that rooted in the woods of France and Norway there were growing trees when that sufferer was put to death already marked by the Woodman Fate to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history,12,Norway,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution,13,Paris,location
"Dickens, Charles",A Tale of Two Cities,In England there was scarcely an amount of order and protection to justify much national boasting,15,England,location
"Dickens, Charles",A Tale of Two Cities,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St,16,London,location
"Dickens, Charles",A Tale of Two Cities,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St,16,Noble,person
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,Tom,person
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,Westminster,location
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,Westminster Hall,location
"Dickens, Charles",A Tale of Two Cities,The Mail It was the Dover road that lay on a Friday night late in November before the first of the persons with whom this history has business,23,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Mail It was the Dover road that lay on a Friday night late in November before the first of the persons with whom this history has business,23,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover road lay as to him beyond the Dover mail as it lumbered up Shooters Hill,24,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover road lay as to him beyond the Dover mail as it lumbered up Shooters Hill,24,Dover,location
"Dickens, Charles",A Tale of Two Cities,He walked up hill in the mire by the side of the mail as the rest of the passengers did not because they had the least relish for walking exercise under the circumstances but because the hill and the harness and the mud and the mail were all so heavy that the horses had three times already come to a stop besides once drawing the coach across the road with the mutinous intent of taking it back to Blackheath,25,East,location
"Dickens, Charles",A Tale of Two Cities,sohothen the near leader violently shook his head and everything upon itlike an unusually emphatic horse denying that the coach could be got up the hill,29,Soho,location
"Dickens, Charles",A Tale of Two Cities,All three were wrapped to the cheekbones and over the ears and wore jackboots,35,Jack,person
"Dickens, Charles",A Tale of Two Cities,So the guard of the Dover mail thought to himself that Friday night in November one thousand seven hundred and seventyfive lumbering up Shooters Hill as he stood on his own particular perch behind the mail beating his feet and keeping an eye and a hand on the armchest before him where a loaded blunderbuss lay at the top of six or eight loaded horsepistols deposited on a substratum of cutlass,40,Dover,location
"Dickens, Charles",A Tale of Two Cities,So the guard of the Dover mail thought to himself that Friday night in November one thousand seven hundred and seventyfive lumbering up Shooters Hill as he stood on his own particular perch behind the mail beating his feet and keeping an eye and a hand on the armchest before him where a loaded blunderbuss lay at the top of six or eight loaded horsepistols deposited on a substratum of cutlass,40,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover mail was in its usual genial position that the guard suspected the passengers the passengers suspected one another and the guard they all suspected everybody else and the coachman was sure of nothing but the horses as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey,41,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover mail was in its usual genial position that the guard suspected the passengers the passengers suspected one another and the guard they all suspected everybody else and the coachman was sure of nothing but the horses as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey,41,Dover,location
"Dickens, Charles",A Tale of Two Cities,One more pull and youre at the top and be damned to you for I have had trouble enough to get you to itJoe,44,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,One more pull and youre at the top and be damned to you for I have had trouble enough to get you to itJoe,44,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,What oclock do you make it Joe Ten minutes good past eleven,46,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,What oclock do you make it Joe Ten minutes good past eleven,46,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,Dover,location
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,Dover,location
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,Jack,person
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,What do you say Tom,57,Tom,person
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,Tom,person
"Dickens, Charles",A Tale of Two Cities,Soho the guard sang out as loud as he could roar,71,Soho,location
"Dickens, Charles",A Tale of Two Cities,The pace was suddenly checked and with much splashing and floundering a mans voice called from the mist Is that the Dover mail Never you mind what it is the guard retorted,75,Dover,location
"Dickens, Charles",A Tale of Two Cities,The pace was suddenly checked and with much splashing and floundering a mans voice called from the mist Is that the Dover mail Never you mind what it is the guard retorted,75,Dover,location
"Dickens, Charles",A Tale of Two Cities, Is  that the Dover mail Why do you want to know I want a passenger if it is,77,Dover,location
"Dickens, Charles",A Tale of Two Cities, Is  that the Dover mail Why do you want to know I want a passenger if it is,77,Dover,location
"Dickens, Charles",A Tale of Two Cities,Jarvis Lorry,80,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Jarvis Lorry,80,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Gentleman of the name of Lorry answer straight,84,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Is it Jerry,88,Jerry,person
"Dickens, Charles",A Tale of Two Cities,I dont like Jerrys voice if it is Jerry growled the guard to himself,89,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Hes hoarser than suits me is Jerry,90,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Yes Mr Lorry,91,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Yes Mr Lorry,91,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,T and Co I know this messenger guard said Mr Lorry getting down into the roadassisted from behind more swiftly than politely by the other two passengers who immediately scrambled into the coach shut the door and pulled up the window,94,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,T and Co I know this messenger guard said Mr Lorry getting down into the roadassisted from behind more swiftly than politely by the other two passengers who immediately scrambled into the coach shut the door and pulled up the window,94,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,And hallo you said Jerry more hoarsely than before,98,Jerry,person
"Dickens, Charles",A Tale of Two Cities,You must know Tellsons Bank in London,111,London,location
"Dickens, Charles",A Tale of Two Cities,I am going to Paris on business,112,Paris,location
"Dickens, Charles",A Tale of Two Cities,He opened it in the light of the coachlamp on that side and readfirst to himself and then aloud Wait at Dover for Mamselle,115,Dover,location
"Dickens, Charles",A Tale of Two Cities,He opened it in the light of the coachlamp on that side and readfirst to himself and then aloud Wait at Dover for Mamselle,115,Dover,location
"Dickens, Charles",A Tale of Two Cities,Jerry say that my answer was RECALLED TO LIFE,117,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Jerry started in his saddle,118,Jerry,person
"Dickens, Charles",A Tale of Two Cities,The guard soon replaced his blunderbuss in his armchest and having looked to the rest of its contents and having looked to the supplementary pistols that he wore in his belt looked to a smaller chest beneath his seat in which there were a few smiths tools a couple of torches and a tinderbox,126,Smith,person
"Dickens, Charles",A Tale of Two Cities,Tom softly over the coach roof,128,Tom,person
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,Joe Gargery,person
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,Tom,person
"Dickens, Charles",A Tale of Two Cities,Jerry left alone in the mist and darkness dismounted meanwhile not only to ease his spent horse but to wipe the mud from his face and shake the wet out of his hatbrim which might be capable of holding about half a gallon,130,Jerry,person
"Dickens, Charles",A Tale of Two Cities,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare,132,Temple,location
"Dickens, Charles",A Tale of Two Cities,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare,132,Temple Bar,location
"Dickens, Charles",A Tale of Two Cities,Much of that wouldnt do for you Jerry,134,Jerry,person
"Dickens, Charles",A Tale of Two Cities,I say Jerry,135,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Youd be in a Blazing bad way if recalling to life was to come into fashion Jerry CHAPTER III,136,Jerry,person
"Dickens, Charles",A Tale of Two Cities,A solemn consideration when I enter a great city by night that every one of those darkly clustered houses encloses its own secret that every room in every one of them encloses its own secret that every beating heart in the hundreds of thousands of breasts there is in some of its imaginings a secret to the heart nearest it,138,East,location
"Dickens, Charles",A Tale of Two Cities,As to this his natural and not to be alienated inheritance the messenger on horseback had exactly the same possessions as the King the first Minister of State or the richest merchant in London,147,London,location
"Dickens, Charles",A Tale of Two Cities,No Jerry no said the messenger harping on one theme as he rode,153,Jerry,person
"Dickens, Charles",A Tale of Two Cities,It wouldnt do for you Jerry,154,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Jerry you honest tradesman it wouldnt suit  your  line of business,155,Jerry,person
"Dickens, Charles",A Tale of Two Cities,It was so like Smiths work so much more like the top of a strongly spiked wall than a head of hair that the best of players at leapfrog might have declined him as the most dangerous man in the world to go over,160,Smith,person
"Dickens, Charles",A Tale of Two Cities,While he trotted back with the message he was to deliver to the night watchman in his box at the door of Tellsons Bank by Temple Bar who was to deliver it to greater authorities within the shadows of the night took such shapes to him as arose out of the message and took such shapes to the mare as arose out of  her  private topics of uneasiness,161,Temple,location
"Dickens, Charles",A Tale of Two Cities,While he trotted back with the message he was to deliver to the night watchman in his box at the door of Tellsons Bank by Temple Bar who was to deliver it to greater authorities within the shadows of the night took such shapes to him as arose out of the message and took such shapes to the mare as arose out of  her  private topics of uneasiness,161,Temple Bar,location
"Dickens, Charles",A Tale of Two Cities,The real Bankinghouse by Temple Bar the real business of the past day the real strong rooms the real express sent after him and the real message returned would all be there,188,Temple,location
"Dickens, Charles",A Tale of Two Cities,The real Bankinghouse by Temple Bar the real business of the past day the real strong rooms the real express sent after him and the real message returned would all be there,188,Temple Bar,location
"Dickens, Charles",A Tale of Two Cities,The Preparation When the mail got successfully to Dover in the course of the forenoon the head drawer at the Royal George Hotel opened the coachdoor as his custom was,203,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Preparation When the mail got successfully to Dover in the course of the forenoon the head drawer at the Royal George Hotel opened the coachdoor as his custom was,203,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Preparation When the mail got successfully to Dover in the course of the forenoon the head drawer at the Royal George Hotel opened the coachdoor as his custom was,203,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,The Preparation When the mail got successfully to Dover in the course of the forenoon the head drawer at the Royal George Hotel opened the coachdoor as his custom was,203,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,He did it with some flourish of ceremony for a mail journey from London in winter was an achievement to congratulate an adventurous traveller upon,204,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry the passenger shaking himself out of it in chains of straw a tangle of shaggy wrapper flapping hat and muddy legs was rather like a larger sort of dog,207,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry the passenger shaking himself out of it in chains of straw a tangle of shaggy wrapper flapping hat and muddy legs was rather like a larger sort of dog,207,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry the passenger shaking himself out of it in chains of straw a tangle of shaggy wrapper flapping hat and muddy legs was rather like a larger sort of dog,207,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry the passenger shaking himself out of it in chains of straw a tangle of shaggy wrapper flapping hat and muddy legs was rather like a larger sort of dog,207,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,There will be a packet to Calais tomorrow drawer Yes sir if the weather holds and the wind sets tolerable fair,208,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Show Concord,214,Concord,location
"Dickens, Charles",A Tale of Two Cities,Gentlemans valise and hot water to Concord,215,Concord,location
"Dickens, Charles",A Tale of Two Cities,Pull off gentlemans boots in Concord,216,Concord,location
"Dickens, Charles",A Tale of Two Cities,Fetch barber to Concord,218,Concord,location
"Dickens, Charles",A Tale of Two Cities,Stir about there now for Concord,219,Concord,location
"Dickens, Charles",A Tale of Two Cities,The Concord bedchamber being always assigned to a passenger by the mail and passengers by the mail being always heavily wrapped up from head to foot the room had the odd interest for the establishment of the Royal George that although but one kind of man was seen to go into it all kinds and varieties of men came out of it,220,Concord,location
"Dickens, Charles",A Tale of Two Cities,The Concord bedchamber being always assigned to a passenger by the mail and passengers by the mail being always heavily wrapped up from head to foot the room had the odd interest for the establishment of the Royal George that although but one kind of man was seen to go into it all kinds and varieties of men came out of it,220,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,Consequently another drawer and two porters and several maids and the landlady were all loitering by accident at various points of the road between the Concord and the coffeeroom when a gentleman of sixty formally dressed in a brown suit of clothes pretty well worn but very well kept with large square cuffs and large flaps to the pockets passed along on his way to his breakfast,221,Concord,location
"Dickens, Charles",A Tale of Two Cities,Consequently another drawer and two porters and several maids and the landlady were all loitering by accident at various points of the road between the Concord and the coffeeroom when a gentleman of sixty formally dressed in a brown suit of clothes pretty well worn but very well kept with large square cuffs and large flaps to the pockets passed along on his way to his breakfast,221,Pocket,person
"Dickens, Charles",A Tale of Two Cities,Completing his resemblance to a man who was sitting for his portrait Mr Lorry dropped off to sleep,232,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Completing his resemblance to a man who was sitting for his portrait Mr Lorry dropped off to sleep,232,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,She may ask for Mr Jarvis Lorry or she may only ask for a gentleman from Tellsons Bank,234,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,She may ask for Mr Jarvis Lorry or she may only ask for a gentleman from Tellsons Bank,234,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Tellsons Bank in London sir Yes,237,London,location
"Dickens, Charles",A Tale of Two Cities,We have oftentimes the honour to entertain your gentlemen in their travelling backwards and forwards betwixt London and Paris sir,239,London,location
"Dickens, Charles",A Tale of Two Cities,We have oftentimes the honour to entertain your gentlemen in their travelling backwards and forwards betwixt London and Paris sir,239,Paris,location
"Dickens, Charles",A Tale of Two Cities,It is fifteen years since wesince Icame last from France Indeed sir,245,France,location
"Dickens, Charles",A Tale of Two Cities,The George was in other hands at that time sir I believe so But I would hold a pretty wager sir that a House like Tellson and Company was flourishing a matter of fifty not to speak of fifteen years ago You might treble that and say a hundred and fifty yet not be far from the truth,248,George Barnwell,person
"Dickens, Charles",A Tale of Two Cities,When Mr Lorry had finished his breakfast he went out for a stroll on the beach,251,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,When Mr Lorry had finished his breakfast he went out for a stroll on the beach,251,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,The little narrow crooked town of Dover hid itself away from the beach and ran its head into the chalk cliffs like a marine ostrich,252,Dover,location
"Dickens, Charles",A Tale of Two Cities,The little narrow crooked town of Dover hid itself away from the beach and ran its head into the chalk cliffs like a marine ostrich,252,Dover,location
"Dickens, Charles",A Tale of Two Cities,As the day declined into the afternoon and the air which had been at intervals clear enough to allow the French coast to be seen became again charged with mist and vapour Mr Lorrys thoughts seemed to cloud too,258,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,As the day declined into the afternoon and the air which had been at intervals clear enough to allow the French coast to be seen became again charged with mist and vapour Mr Lorrys thoughts seemed to cloud too,258,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry had been idle a long time and had just poured out his last glassful of wine with as complete an appearance of satisfaction as is ever to be found in an elderly gentleman of a fresh complexion who has got to the end of a bottle when a rattling of wheels came up the narrow street and rumbled into the innyard,261,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Mr Lorry had been idle a long time and had just poured out his last glassful of wine with as complete an appearance of satisfaction as is ever to be found in an elderly gentleman of a fresh complexion who has got to the end of a bottle when a rattling of wheels came up the narrow street and rumbled into the innyard,261,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,In a very few minutes the waiter came in to announce that Miss Manette had arrived from London and would be happy to see the gentleman from Tellsons,264,London,location
"Dickens, Charles",A Tale of Two Cities,In a very few minutes the waiter came in to announce that Miss Manette had arrived from London and would be happy to see the gentleman from Tellsons,264,Monsieur Manette,person
"Dickens, Charles",A Tale of Two Cities,Miss Manette had taken some refreshment on the road and required none then and was extremely anxious to see the gentleman from Tellsons immediately if it suited his pleasure and convenience,266,Monsieur Manette,person
"Dickens, Charles",A Tale of Two Cities,The gentleman from Tellsons had nothing left for it but to empty his glass with an air of stolid desperation settle his odd little flaxen wig at the ears and follow the waiter to Miss Manettes apartment,267,Monsieur Manette,person
"Dickens, Charles",A Tale of Two Cities,The obscurity was so difficult to penetrate that Mr Lorry picking his way over the wellworn Turkey carpet supposed Miss Manette to be for the moment in some adjacent room until having got past the two tall candles he saw standing to receive him by the table between them and the fire a young lady of not more than seventeen in a ridingcloak and still holding her straw travellinghat by its ribbon in her hand,270,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,The obscurity was so difficult to penetrate that Mr Lorry picking his way over the wellworn Turkey carpet supposed Miss Manette to be for the moment in some adjacent room until having got past the two tall candles he saw standing to receive him by the table between them and the fire a young lady of not more than seventeen in a ridingcloak and still holding her straw travellinghat by its ribbon in her hand,270,Monsieur Manette,person
