author,title,sentence,sentence_nr,...1,words,kind
"Dickens, Charles",A Tale of Two Cities,There were a king with a large jaw and a queen with a plain face on the throne of England there were a king with a large jaw and a queen with a fair face on the throne of France,3,110,Queen,location
"Dickens, Charles",A Tale of Two Cities,Spiritual revelations were conceded to England at that favoured period as at this,6,6,England,location
"Dickens, Charles",A Tale of Two Cities,Mrs Southcott had recently attained her fiveandtwentieth blessed birthday of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster,7,8,London,location
"Dickens, Charles",A Tale of Two Cities,Mrs Southcott had recently attained her fiveandtwentieth blessed birthday of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster,7,9,Westminster,location
"Dickens, Charles",A Tale of Two Cities,Mere messages in the earthly order of events had lately come to the English Crown and People from a congress of British subjects in America which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cocklane brood,9,10,America,location
"Dickens, Charles",A Tale of Two Cities,Mere messages in the earthly order of events had lately come to the English Crown and People from a congress of British subjects in America which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cocklane brood,9,138,Earth,location
"Dickens, Charles",A Tale of Two Cities,Mere messages in the earthly order of events had lately come to the English Crown and People from a congress of British subjects in America which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cocklane brood,9,207,earth,location
"Dickens, Charles",A Tale of Two Cities,France less favoured on the whole as to matters spiritual than her sister of the shield and trident rolled with exceeding smoothness down hill making paper money and spending it,10,7,France,location
"Dickens, Charles",A Tale of Two Cities,France less favoured on the whole as to matters spiritual than her sister of the shield and trident rolled with exceeding smoothness down hill making paper money and spending it,10,64,King,location
"Dickens, Charles",A Tale of Two Cities,France less favoured on the whole as to matters spiritual than her sister of the shield and trident rolled with exceeding smoothness down hill making paper money and spending it,10,109,King,person
"Dickens, Charles",A Tale of Two Cities,It is likely enough that rooted in the woods of France and Norway there were growing trees when that sufferer was put to death already marked by the Woodman Fate to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history,12,7,France,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that rooted in the woods of France and Norway there were growing trees when that sufferer was put to death already marked by the Woodman Fate to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history,12,11,Norway,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution,13,12,Paris,location
"Dickens, Charles",A Tale of Two Cities,It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution,13,140,Revolution,person
"Dickens, Charles",A Tale of Two Cities,In England there was scarcely an amount of order and protection to justify much national boasting,15,6,England,location
"Dickens, Charles",A Tale of Two Cities,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St,16,8,London,location
"Dickens, Charles",A Tale of Two Cities,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St,16,265,Noble,person
"Dickens, Charles",A Tale of Two Cities,Daring burglaries by armed men and highway robberies took place in the capital itself every night families were publicly cautioned not to go out of town without removing their furniture to upholsterers warehouses for security the highwayman in the dark was a City tradesman in the light and being recognised and challenged by his fellowtradesman whom he stopped in his character of the Captain gallantly shot him through the head and rode away the mail was waylaid by seven robbers and the guard shot three dead and then got shot dead himself by the other four in consequence of the failure of his ammunition after which the mail was robbed in peace that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball thieves snipped off diamond crosses from the necks of noble lords at Court drawingrooms musketeers went into St,16,135,Peace,person
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,64,King,location
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,109,King,person
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,16,Tom,person
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,9,Westminster,location
"Dickens, Charles",A Tale of Two Cities,In the midst of them the hangman ever busy and ever worse than useless was in constant requisition now stringing up long rows of miscellaneous criminals now hanging a housebreaker on Saturday who had been taken on Tuesday now burning people in the hand at Newgate by the dozen and now burning pamphlets at the door of Westminster Hall today taking the life of an atrocious murderer and tomorrow of a wretched pilferer who had robbed a farmers boy of sixpence,18,14,Westminster Hall,location
"Dickens, Charles",A Tale of Two Cities,The Mail It was the Dover road that lay on a Friday night late in November before the first of the persons with whom this history has business,23,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Mail It was the Dover road that lay on a Friday night late in November before the first of the persons with whom this history has business,23,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,The Dover road lay as to him beyond the Dover mail as it lumbered up Shooters Hill,24,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover road lay as to him beyond the Dover mail as it lumbered up Shooters Hill,24,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,He walked up hill in the mire by the side of the mail as the rest of the passengers did not because they had the least relish for walking exercise under the circumstances but because the hill and the harness and the mud and the mail were all so heavy that the horses had three times already come to a stop besides once drawing the coach across the road with the mutinous intent of taking it back to Blackheath,25,129,East,location
"Dickens, Charles",A Tale of Two Cities,He walked up hill in the mire by the side of the mail as the rest of the passengers did not because they had the least relish for walking exercise under the circumstances but because the hill and the harness and the mud and the mail were all so heavy that the horses had three times already come to a stop besides once drawing the coach across the road with the mutinous intent of taking it back to Blackheath,25,64,King,location
"Dickens, Charles",A Tale of Two Cities,He walked up hill in the mire by the side of the mail as the rest of the passengers did not because they had the least relish for walking exercise under the circumstances but because the hill and the harness and the mud and the mail were all so heavy that the horses had three times already come to a stop besides once drawing the coach across the road with the mutinous intent of taking it back to Blackheath,25,109,King,person
"Dickens, Charles",A Tale of Two Cities,sohothen the near leader violently shook his head and everything upon itlike an unusually emphatic horse denying that the coach could be got up the hill,29,68,Soho,location
"Dickens, Charles",A Tale of Two Cities,There was a steaming mist in all the hollows and it had roamed in its forlornness up the hill like an evil spirit seeking rest and finding none,31,64,King,location
"Dickens, Charles",A Tale of Two Cities,There was a steaming mist in all the hollows and it had roamed in its forlornness up the hill like an evil spirit seeking rest and finding none,31,109,King,person
"Dickens, Charles",A Tale of Two Cities,It was dense enough to shut out everything from the light of the coachlamps but these its own workings and a few yards of road and the reek of the labouring horses steamed into it as if they had made it all,33,64,King,location
"Dickens, Charles",A Tale of Two Cities,It was dense enough to shut out everything from the light of the coachlamps but these its own workings and a few yards of road and the reek of the labouring horses steamed into it as if they had made it all,33,109,King,person
"Dickens, Charles",A Tale of Two Cities,All three were wrapped to the cheekbones and over the ears and wore jackboots,35,232,Jack,person
"Dickens, Charles",A Tale of Two Cities,So the guard of the Dover mail thought to himself that Friday night in November one thousand seven hundred and seventyfive lumbering up Shooters Hill as he stood on his own particular perch behind the mail beating his feet and keeping an eye and a hand on the armchest before him where a loaded blunderbuss lay at the top of six or eight loaded horsepistols deposited on a substratum of cutlass,40,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,So the guard of the Dover mail thought to himself that Friday night in November one thousand seven hundred and seventyfive lumbering up Shooters Hill as he stood on his own particular perch behind the mail beating his feet and keeping an eye and a hand on the armchest before him where a loaded blunderbuss lay at the top of six or eight loaded horsepistols deposited on a substratum of cutlass,40,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,The Dover mail was in its usual genial position that the guard suspected the passengers the passengers suspected one another and the guard they all suspected everybody else and the coachman was sure of nothing but the horses as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey,41,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,The Dover mail was in its usual genial position that the guard suspected the passengers the passengers suspected one another and the guard they all suspected everybody else and the coachman was sure of nothing but the horses as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey,41,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,One more pull and youre at the top and be damned to you for I have had trouble enough to get you to itJoe,44,15,Joe,person
"Dickens, Charles",A Tale of Two Cities,One more pull and youre at the top and be damned to you for I have had trouble enough to get you to itJoe,44,182,Joe,location
"Dickens, Charles",A Tale of Two Cities,What oclock do you make it Joe Ten minutes good past eleven,46,15,Joe,person
"Dickens, Charles",A Tale of Two Cities,What oclock do you make it Joe Ten minutes good past eleven,46,182,Joe,location
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,Once more the Dover mail struggled on with the jackboots of its passengers squashing along by its side,50,232,Jack,person
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,15,Joe,person
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,182,Joe,location
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,64,King,location
"Dickens, Charles",A Tale of Two Cities,Joe cried the coachman in a warning voice looking down from his box,56,109,King,person
"Dickens, Charles",A Tale of Two Cities,What do you say Tom,57,16,Tom,person
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,15,Joe,person
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,182,Joe,location
"Dickens, Charles",A Tale of Two Cities,I say a horse at a canter coming up Joe  I  say a horse at a gallop Tom returned the guard leaving his hold of the door and mounting nimbly to his place,59,16,Tom,person
"Dickens, Charles",A Tale of Two Cities,In the kings name all of you,61,64,King,location
"Dickens, Charles",A Tale of Two Cities,In the kings name all of you,61,109,King,person
"Dickens, Charles",A Tale of Two Cities,Soho the guard sang out as loud as he could roar,71,68,Soho,location
"Dickens, Charles",A Tale of Two Cities,The pace was suddenly checked and with much splashing and floundering a mans voice called from the mist Is that the Dover mail Never you mind what it is the guard retorted,75,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,The pace was suddenly checked and with much splashing and floundering a mans voice called from the mist Is that the Dover mail Never you mind what it is the guard retorted,75,24,Dover,person
"Dickens, Charles",A Tale of Two Cities, Is  that the Dover mail Why do you want to know I want a passenger if it is,77,22,Dover,location
"Dickens, Charles",A Tale of Two Cities, Is  that the Dover mail Why do you want to know I want a passenger if it is,77,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,Jarvis Lorry,80,155,Jarvis Lorry,person
"Dickens, Charles",A Tale of Two Cities,Jarvis Lorry,80,117,Lorry,location
"Dickens, Charles",A Tale of Two Cities,Gentleman of the name of Lorry answer straight,84,117,Lorry,location
"Dickens, Charles",A Tale of Two Cities,Is it Jerry,88,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,I dont like Jerrys voice if it is Jerry growled the guard to himself,89,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Hes hoarser than suits me is Jerry,90,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Yes Mr Lorry,91,117,Lorry,location
"Dickens, Charles",A Tale of Two Cities,Yes Mr Lorry,91,18,Mr Lorry,person
"Dickens, Charles",A Tale of Two Cities,T and Co I know this messenger guard said Mr Lorry getting down into the roadassisted from behind more swiftly than politely by the other two passengers who immediately scrambled into the coach shut the door and pulled up the window,94,117,Lorry,location
"Dickens, Charles",A Tale of Two Cities,T and Co I know this messenger guard said Mr Lorry getting down into the roadassisted from behind more swiftly than politely by the other two passengers who immediately scrambled into the coach shut the door and pulled up the window,94,18,Mr Lorry,person
"Dickens, Charles",A Tale of Two Cities,I hope there aint but I cant make so Nation sure of that said the guard in gruff soliloquy,96,66,Hope,location
"Dickens, Charles",A Tale of Two Cities,And hallo you said Jerry more hoarsely than before,98,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,The watchful guard with his right hand at the stock of his raised blunderbuss his left at the barrel and his eye on the horseman answered curtly Sir,108,43,Bar,location
"Dickens, Charles",A Tale of Two Cities,I belong to Tellsons Bank,110,19,Tellson,location
"Dickens, Charles",A Tale of Two Cities,You must know Tellsons Bank in London,111,8,London,location
"Dickens, Charles",A Tale of Two Cities,You must know Tellsons Bank in London,111,19,Tellson,location
"Dickens, Charles",A Tale of Two Cities,I am going to Paris on business,112,12,Paris,location
"Dickens, Charles",A Tale of Two Cities,He opened it in the light of the coachlamp on that side and readfirst to himself and then aloud Wait at Dover for Mamselle,115,22,Dover,location
"Dickens, Charles",A Tale of Two Cities,He opened it in the light of the coachlamp on that side and readfirst to himself and then aloud Wait at Dover for Mamselle,115,24,Dover,person
"Dickens, Charles",A Tale of Two Cities,Jerry say that my answer was RECALLED TO LIFE,117,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Jerry started in his saddle,118,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,With those words the passenger opened the coachdoor and got in not at all assisted by his fellowpassengers who had expeditiously secreted their watches and purses in their boots and were now making a general pretence of being asleep,123,64,King,location
"Dickens, Charles",A Tale of Two Cities,With those words the passenger opened the coachdoor and got in not at all assisted by his fellowpassengers who had expeditiously secreted their watches and purses in their boots and were now making a general pretence of being asleep,123,109,King,person
"Dickens, Charles",A Tale of Two Cities,The guard soon replaced his blunderbuss in his armchest and having looked to the rest of its contents and having looked to the supplementary pistols that he wore in his belt looked to a smaller chest beneath his seat in which there were a few smiths tools a couple of torches and a tinderbox,126,21,Smith,person
"Dickens, Charles",A Tale of Two Cities,Tom softly over the coach roof,128,16,Tom,person
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,15,Joe,person
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,182,Joe,location
"Dickens, Charles",A Tale of Two Cities,Hallo Joe Did you hear the message I did Joe What did you make of it Tom Nothing at all Joe Thats a coincidence too the guard mused for I made the same of it myself,129,16,Tom,person
"Dickens, Charles",A Tale of Two Cities,Jerry left alone in the mist and darkness dismounted meanwhile not only to ease his spent horse but to wipe the mud from his face and shake the wet out of his hatbrim which might be capable of holding about half a gallon,130,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare,132,43,Bar,location
"Dickens, Charles",A Tale of Two Cities,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare,132,42,Temple,location
"Dickens, Charles",A Tale of Two Cities,After that there gallop from Temple Bar old lady I wont trust your forelegs till I get you on the level said this hoarse messenger glancing at his mare,132,20,Temple Bar,location
"Dickens, Charles",A Tale of Two Cities,Much of that wouldnt do for you Jerry,134,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,I say Jerry,135,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,Youd be in a Blazing bad way if recalling to life was to come into fashion Jerry CHAPTER III,136,17,Jerry,person
"Dickens, Charles",A Tale of Two Cities,A solemn consideration when I enter a great city by night that every one of those darkly clustered houses encloses its own secret that every room in every one of them encloses its own secret that every beating heart in the hundreds of thousands of breasts there is in some of its imaginings a secret to the heart nearest it,138,129,East,location
"Dickens, Charles",A Tale of Two Cities,No more can I turn the leaves of this dear book that I loved and vainly hope in time to read it all,140,66,Hope,location
"Dickens, Charles",A Tale of Two Cities,No more can I turn the leaves of this dear book that I loved and vainly hope in time to read it all,140,122,Love,location
"Dickens, Charles",A Tale of Two Cities,No more can I turn the leaves of this dear book that I loved and vainly hope in time to read it all,140,261,Love,person
"Dickens, Charles",A Tale of Two Cities,My friend is dead my neighbour is dead my love the darling of my soul is dead it is the inexorable consolidation and perpetuation of th,144,122,Love,location
"Dickens, Charles",A Tale of Two Cities,My friend is dead my neighbour is dead my love the darling of my soul is dead it is the inexorable consolidation and perpetuation of th,144,261,Love,person
"Dickens, Charles",A Tale of Two Cities,In any of the burialplaces of this city through which I pass is there a sleeper more inscrutable than its busy inhabitants are in their innermost personality to me or than I am to them,146,210,Inn,person
"Dickens, Charles",A Tale of Two Cities,As to this his natural and not to be alienated inheritance the messenger on horseback had exactly the same possessions as the King the first Minister of State or the richest merchant in London,147,64,King,location
